pid,name
8460465,Petr Sykora
8460542,Patrik Elias
8460626,Bryce Salvador
8460720,Eric Boulton
8464977,Dainius Zubrus
8466182,Henrik Tallinder
8467412,Alexei Ponikarovsky
8468501,Anton Volchenkov
8468520,Kurtis Foster
8469454,Ilya Kovalchuk
8469542,Stephane Veilleux
8469623,Marek Zidlicky
8470123,Cam Janssen
8470609,Steve Bernier
8470610,Zach Parise
8470920,David Clarkson
8471233,Travis Zajac
8471365,Steven Zalewski
8471636,Tim Sestito
8471748,Mark Fraser
8471816,Mark Fayne
8472355,Rod Pelley
8472382,Andy Greene
8472394,Peter Harrold
8472410,Stephen Gionta
8473592,Vladimir Zharkov
8473646,Ryan Carter
8473927,Brad Mills
8473999,Nick Palmieri
8474582,Mattias Tedenby
8474641,Adam Henrique
8475060,Matt Taormina
8475185,Jacob Josefson
8475248,Alexander Urbom
8476457,Adam Larsson
8455710,Martin Brodeur
8460704,Johan Hedberg
8458525,Brian Rolston
8458541,Steve Staios
8459454,Jay Pandolfo
8464967,Marty Reasoner
8466309,Mike Mottau
8467579,Trevor Gillies
8467580,Mark Eaton
8468309,Mark Streit
8469684,Milan Jurcina
8469707,PA Parenteau
8470144,Frans Nielsen
8470798,Dylan Reese
8470852,Matt Moulson
8471260,Blake Comeau
8473449,Kyle Okposo
8473456,Rhett Rakhshani
8473501,Ty Wishart
8473546,Michael Grabner
8473584,Andrew MacDonald
8473734,Tim Wallace
8474230,Micheal Haley
8474573,Josh Bailey
8474604,Aaron Ness
8474612,Travis Hamonic
8474659,Matt Donovan
8474666,David Ullstrom
8474709,Matt Martin
8475166,John Tavares
8475177,Calvin de Haan
8475231,Casey Cizikas
8475799,Nino Niederreiter
8460705,Evgeni Nabokov
8468481,Rick DiPietro
8471219,Al Montoya
8474690,Kevin Poulin
8475195,Anders Nilsson
8467336,Mike Rupp
8467389,Brad Richards
8468172,Ruslan Fedotenko
8468224,Sean Avery
8468483,Marian Gaborik
8469480,Jeff Woywitka
8469516,Brendan Bell
8470192,Steve Eminger
8470232,Kris Newbury
8470299,Erik Christensen
8470301,Andre Deveaux
8470619,Brian Boyle
8470750,John Mitchell
8471234,Wojtek Wolski
8471273,Brandon Dubinsky
8471283,Brandon Prust
8471339,Ryan Callahan
8471686,Marc Staal
8471714,Michael Sauer
8471873,Anton Stralman
